name,url,country,iata,value,label,id
1Time,1time-rnx,za,T6 ,1Time (T6/RNX),1Time (T6/RNX),1109
Aigle Azur,aigle-azur-aaf,fr,ZI ,Aigle Azur (ZI/AAF),Aigle Azur (ZI/AAF),2
Astra Airlines,astra-airlines-azi,gr,A2 ,Astra Airlines (A2/AZI),Astra Airlines (A2/AZI),1370
Azul Brazilian Airlines,azul-brazilian-airlines-azu,br,AD ,Azul Brazilian Airlines (AD/AZU),Azul Brazilian Airlines (AD/AZU),1112
Air Zimbabwe,air-zimbabwe-azw,zw,UM ,Air Zimbabwe (UM/AZW),Air Zimbabwe (UM/AZW),110
Avianca Brazil,avianca-brazil-one,br,O6 ,Avianca Brazil (O6/ONE),Avianca Brazil (O6/ONE),1372
Azzurra Air,azzurra-air-azi,it,ZS ,Azzurra Air (ZS/AZI),Azzurra Air (ZS/AZI),107
Zip Air,zip-air-wzp,ca,3J ,Zip Air (3J/WZP),Zip Air (3J/WZP),1071
Aviacon Zitotrans,aviacon-zitotrans-azs,ru,ZR ,Aviacon Zitotrans (ZR/AZS),Aviacon Zitotrans (ZR/AZS),109
Royal Swazi National Airways,royal-swazi-national-airways-rsn,sz,ZC ,Royal Swazi National Airways (ZC/RSN),Royal Swazi National Airways (ZC/RSN),661
Zambezi Airlines,zambezi-airlines-zma,zm,ZJ ,Zambezi Airlines (ZJ/ZMA),Zambezi Airlines (ZJ/ZMA),1625
MAP Jet,map-jet-mpj,at,AQ ,MAP Jet (AQ/MPJ),MAP Jet (AQ/MPJ),1464
Aloha Airlines,aloha-airlines-aah,us,AQ ,Aloha Airlines (AQ/AAH),Aloha Airlines (AQ/AAH),3
Air Anglia,air-anglia-aq0,gb,AQ ,Air Anglia (AQ/AQ0),Air Anglia (AQ/AQ0),1410
Air Alliance,air-alliance-aaq,ca,3J ,Air Alliance (3J/AAQ),Air Alliance (3J/AAQ),1191
Iraqi Airways,iraqi-airways-iaw,iq,IA ,Iraqi Airways (IA/IAW),Iraqi Airways (IA/IAW),375
PT Bouraq Indonesia Airlines,pt-bouraq-indonesia-airlines-bou,id,BO ,PT Bouraq Indonesia Airlines (BO/BOU),PT Bouraq Indonesia Airlines (BO/BOU),142
Buraq Air Transport,buraq-air-transport-brq,ly,UZ ,Buraq Air Transport (UZ/BRQ),Buraq Air Transport (UZ/BRQ),145
Lebanese Air Transport,lebanese-air-transport-laq,lb,LQ ,Lebanese Air Transport (LQ/LAQ),Lebanese Air Transport (LQ/LAQ),460
Ansett Australia,ansett-australia-aaa,au,AN ,Ansett Australia (AN/AAA),Ansett Australia (AN/AAA),1145
Lufthansa,lufthansa-dlh,de,LH ,Lufthansa (LH/DLH),Lufthansa (LH/DLH),239
Qantas Airways,qantas-airways-qfa,au,QF ,Qantas Airways (QF/QFA),Qantas Airways (QF/QFA),631
Icelandair,icelandair-ice,is,FI ,Icelandair (FI/ICE),Icelandair (FI/ICE),381
Thomas Cook Airlines Scandinavia,thomas-cook-airlines-scandinavia-vkg,dk,DK ,Thomas Cook Airlines Scandinavia (DK/VKG),Thomas Cook Airlines Scandinavia (DK/VKG),837
Air Astana,air-astana-kzr,kz,KC ,Air Astana (KC/KZR),Air Astana (KC/KZR),978
Air Poland,air-poland-aei,pl,4Q ,Air Poland (4Q/AEI),Air Poland (4Q/AEI),1353
OLT Express Poland,olt-express-poland-yap,pl,   ,OLT Express Poland (/YAP),OLT Express Poland (/YAP),1492
Mandarin Airlines,mandarin-airlines-mda,tw,AE ,Mandarin Airlines (AE/MDA),Mandarin Airlines (AE/MDA),512
Trans Maldivian Airways,trans-maldivian-airways-tmw,mv,M8 ,Trans Maldivian Airways (M8/TMW),Trans Maldivian Airways (M8/TMW),1367
Peruvian Airlines,peruvian-airlines-pvn,pe,P9 ,Peruvian Airlines (P9/PVN),Peruvian Airlines (P9/PVN),1443
Air Bagan,air-bagan-jab,mm,W9 ,Air Bagan (W9/JAB),Air Bagan (W9/JAB),1268
Eastwind Airlines,eastwind-airlines-sgr,us,W9 ,Eastwind Airlines (W9/SGR),Eastwind Airlines (W9/SGR),699
Balkan Holidays (BH Air),balkan-holidays-bh-air-bgh,bg,1B ,Balkan Holidays (BH Air) (1B/BGH),Balkan Holidays (BH Air) (1B/BGH),1333
American Airlines,american-airlines-aal,us,AA ,American Airlines (AA/AAL),American Airlines (AA/AAL),4
VivaAerobus,vivaaerobus-viv,mx,VB ,VivaAerobus (VB/VIV),VivaAerobus (VB/VIV),1328
South African Airways,south-african-airways-saa,za,SA ,South African Airways (SA/SAA),South African Airways (SA/SAA),671
Braathens,braathens-bra,no,BU ,Braathens (BU/BRA),Braathens (BU/BRA),144
Asiana Airlines,asiana-airlines-aar,kr,OZ ,Asiana Airlines (OZ/AAR),Asiana Airlines (OZ/AAR),5
Pan American Airways,pan-american-airways-paa,us,PN ,Pan American Airways (PN/PAA),Pan American Airways (PN/PAA),595
Trans Australia Airlines,trans-australia-airlines,au,TN ,Trans Australia Airlines (TN/TAA),Trans Australia Airlines (TN/TAA),1141
