name,url,country,iata,lon,value,label,icao,lat,id
/ Franz Josef Aerodrome,-franz-josef-aerodrome-nzfj,nz,WHO,170.134, / Franz Josef Aerodrome (WHO/NZFJ), / Franz Josef Aerodrome (WHO/NZFJ),NZFJ,-43.3631,5257
"Arlington, TX / Arlintgon Municipal",arlington-arlington-municipal-kgky,us,GKY,-97.094167,"Arlington, TX / Arlintgon Municipal (GKY/KGKY)","Arlington, TX / Arlintgon Municipal (GKY/KGKY)",KGKY,32.663889,5083
"Arlington, WA / Arlington Municipal",arlington-arlington-municipal-kawo,us,AWO,-122.158889,"Arlington, WA / Arlington Municipal (AWO/KAWO)","Arlington, WA / Arlington Municipal (AWO/KAWO)",KAWO,48.160833,5082
108 Mile Ranch / South Cariboo Regional,108-mile-ranch-south-cariboo-regional-czml,ca,ZMH,-121.332778,108 Mile Ranch / South Cariboo Regional (ZMH/CZML),108 Mile Ranch / South Cariboo Regional (ZMH/CZML),CZML,51.736667,4973
Aachen / Aachen Merzbruck,aachen-aachen-merzbruck-edka,de,AAH,6.186111,Aachen / Aachen Merzbruck (AAH/EDKA),Aachen / Aachen Merzbruck (AAH/EDKA),EDKA,50.82305,3998
Aalborg / Aalborg,aalborg-aalborg-ekyt,dk,AAL,9.849164,Aalborg / Aalborg (AAL/EKYT),Aalborg / Aalborg (AAL/EKYT),EKYT,57.092789,6
Aarhus / Tirstrup,aarhus-tirstrup-ekah,dk,AAR,10.619008,Aarhus / Tirstrup (AAR/EKAH),Aarhus / Tirstrup (AAR/EKAH),EKAH,56.300017,8
Aasiaat / Aasiaat,aasiaat-aasiaat-bgem,gl,JEG,-52.7847,Aasiaat / Aasiaat (JEG/BGEM),Aasiaat / Aasiaat (JEG/BGEM),BGEM,68.72184,3943
Abaco I / Marsh Harbour,abaco-i-marsh-harbour-myam,bs,MHH,-77.083472,Abaco I / Marsh Harbour (MHH/MYAM),Abaco I / Marsh Harbour (MHH/MYAM),MYAM,26.511406,1826
Abaco I / Treasure Cay,abaco-i-treasure-cay-myat,bs,TCB,-77.391269,Abaco I / Treasure Cay (TCB/MYAT),Abaco I / Treasure Cay (TCB/MYAT),MYAT,26.745336,2869
Abadan / Abadan,abadan-abadan-oiaa,ir,ABD,48.228333,Abadan / Abadan (ABD/OIAA),Abadan / Abadan (ABD/OIAA),OIAA,30.371111,11
Abakan / Abakan,abakan-abakan-unaa,ru,ABA,91.385,Abakan / Abakan (ABA/UNAA),Abakan / Abakan (ABA/UNAA),UNAA,53.741667,10
Abbotsford / Abbotsford,abbotsford-abbotsford-cyxx,ca,YXX,-122.360556,Abbotsford / Abbotsford (YXX/CYXX),Abbotsford / Abbotsford (YXX/CYXX),CYXX,49.025278,3482
Abeche / Abeche,abeche-abeche-fttc,td,AEH,20.85,Abeche / Abeche (AEH/FTTC),Abeche / Abeche (AEH/FTTC),FTTC,13.85,50
Abengourou / Abengourou,abengourou-abengourou-diau,ci,OGO,-3.47027,Abengourou / Abengourou (OGO/DIAU),Abengourou / Abengourou (OGO/DIAU),DIAU,6.715556,3982
Aberdeen / Dyce,aberdeen-dyce-egpd,gb,ABZ,-2.197778,Aberdeen / Dyce (ABZ/EGPD),Aberdeen / Dyce (ABZ/EGPD),EGPD,57.201944,25
Aberdeen / Phillips AAF,aberdeen-phillips-aaf-kapg,us,APG,-76.168808,Aberdeen / Phillips AAF (APG/KAPG),Aberdeen / Phillips AAF (APG/KAPG),KAPG,39.466219,143
Abha / Abha,abha-abha-oeab,sa,AHB,42.656508,Abha / Abha (AHB/OEAB),Abha / Abha (AHB/OEAB),OEAB,18.240411,74
Abidjan / Felix H Boigny,abidjan-felix-h-boigny-diap,ci,ABJ,-3.928611,Abidjan / Felix H Boigny (ABJ/DIAP),Abidjan / Felix H Boigny (ABJ/DIAP),DIAP,5.254444,14
